cleaned_review,sentiment,sentiment_category,tokenized_review
appalling service failing defective fleet aircraft flown four times route return significant delays hours every time boarded pm october cancelled technical reasons six hours return customs recover bag management johannesburg night four hours organise hotel transfer queues people check room eventually accessed attempt reschedule assist pilot trying announce process,0.008333333,positive,"['appalling', 'service', 'failing', 'defective', 'fleet', 'aircraft', 'flown', 'four', 'times', 'route', 'return', 'significant', 'delays', 'hours', 'every', 'time', 'boarded', 'pm', 'october', 'cancelled', 'technical', 'reasons', 'six', 'hours', 'return', 'customs', 'recover', 'bag', 'management', 'johannesburg', 'night', 'four', 'hours', 'organise', 'hotel', 'transfer', 'queues', 'people', 'check', 'room', 'eventually', 'accessed', 'attempt', 'reschedule', 'assist', 'pilot', 'trying', 'announce', 'process']"
airways charge pleasure choosing seat put back club turned advantage meant could get seat without climb anybody seat clean later discovered foldout section would stay feet dangled edge bed extended boarding complete told departure delayed loaded cargo told delayed fault one fuel pumps took five hours problem corrected pilot later informed us installed new pump initially thought software issue time served meal told alcohol permitted curious given already served predeparture drink cabin crew male apparently based mexico turned pleasant surprise given spoke incredibly positive friendly seemed embarrassed happening knew oldstyle seats less acceptable bas petty penny pinching competition smallest hot towel would winner food sounded nice looked impressive seemed totally tasteless,0.165109428,positive,"['airways', 'charge', 'pleasure', 'choosing', 'seat', 'put', 'back', 'club', 'turned', 'advantage', 'meant', 'could', 'get', 'seat', 'without', 'climb', 'anybody', 'seat', 'clean', 'later', 'discovered', 'foldout', 'section', 'would', 'stay', 'feet', 'dangled', 'edge', 'bed', 'extended', 'boarding', 'complete', 'told', 'departure', 'delayed', 'loaded', 'cargo', 'told', 'delayed', 'fault', 'one', 'fuel', 'pumps', 'took', 'five', 'hours', 'problem', 'corrected', 'pilot', 'later', 'informed', 'us', 'installed', 'new', 'pump', 'initially', 'thought', 'software', 'issue', 'time', 'served', 'meal', 'told', 'alcohol', 'permitted', 'curious', 'given', 'already', 'served', 'predeparture', 'drink', 'cabin', 'crew', 'male', 'apparently', 'based', 'mexico', 'turned', 'pleasant', 'surprise', 'given', 'spoke', 'incredibly', 'positive', 'friendly', 'seemed', 'embarrassed', 'happening', 'knew', 'oldstyle', 'seats', 'less', 'acceptable', 'bas', 'petty', 'penny', 'pinching', 'competition', 'smallest', 'hot', 'towel', 'would', 'winner', 'food', 'sounded', 'nice', 'looked', 'impressive', 'seemed', 'totally', 'tasteless']"
wrong guys people pay lots money business class ticket sit squeezed seat legroom nothing clean overhead lockers empty want put bag seat room legs anymore serve food rubbish staff demonstrates arrogance manners decent polite service anymore really difference easyjet european routes,0.022222222,positive,"['wrong', 'guys', 'people', 'pay', 'lots', 'money', 'business', 'class', 'ticket', 'sit', 'squeezed', 'seat', 'legroom', 'nothing', 'clean', 'overhead', 'lockers', 'empty', 'want', 'put', 'bag', 'seat', 'room', 'legs', 'anymore', 'serve', 'food', 'rubbish', 'staff', 'demonstrates', 'arrogance', 'manners', 'decent', 'polite', 'service', 'anymore', 'really', 'difference', 'easyjet', 'european', 'routes']"
booked two business class seat airways july september told september heathrow airport cancelled could one business seat another different airport one airways contacted us apologize offer refund business class seat lost filed complaint airways asked reimbursement september heard word october worst experience ever terrible customer service zero communication customers even find phone number call airways website,-0.575,negative,"['booked', 'two', 'business', 'class', 'seat', 'airways', 'july', 'september', 'told', 'september', 'heathrow', 'airport', 'cancelled', 'could', 'one', 'business', 'seat', 'another', 'different', 'airport', 'one', 'airways', 'contacted', 'us', 'apologize', 'offer', 'refund', 'business', 'class', 'seat', 'lost', 'filed', 'complaint', 'airways', 'asked', 'reimbursement', 'september', 'heard', 'word', 'october', 'worst', 'experience', 'ever', 'terrible', 'customer', 'service', 'zero', 'communication', 'customers', 'even', 'find', 'phone', 'number', 'call', 'airways', 'website']"
ive flown many airlines recent experience airways left much desired inflight entertainment underwhelming disappointed lack basic amenities comfort kit essentials like eye masks positive aspect slightly generous legroom overall found service far expectations impressed,0.100964187,positive,"['ive', 'flown', 'many', 'airlines', 'recent', 'experience', 'airways', 'left', 'much', 'desired', 'inflight', 'entertainment', 'underwhelming', 'disappointed', 'lack', 'basic', 'amenities', 'comfort', 'kit', 'essentials', 'like', 'eye', 'masks', 'positive', 'aspect', 'slightly', 'generous', 'legroom', 'overall', 'found', 'service', 'far', 'expectations', 'impressed']"
recently flew new york back london wasnt first long haul however first time travelling world traveler plus boarded aircraft time stress free first impression good cabin clean leg room good recline seat generous combined footrest quite comfortable waiting seats decent quality cushion blanket well amenity kit amenity kit contained good headphones socks eye mask lip balm pen toothbrush toothpaste boarding complete offered pre departure drink orange juice water champagne options crew friendly professional upmost ensure everyone happy air offered hot towel another round drinks time lot selection drinks offered several times throughout menu also handed long take starter quinoa main choice chicken meatballs pasta vegetarian mushroom dish chose meatballs really good real complaint people getting dish wished sat last row premium economy cabin time meal service got us chicken dishes gone moral story sit front cabin likely get preferred meal option meal chose watch shows well sized entertainment screen definitely best inflight entertainment finally hour landing served breakfast snack come form warm egg swiss cheese bagel edible also little soggy didnt really taste much certainly wont craving one anytime soon touched heathrow time disembarking aircraft picking bags everything efficient way time,0.185781926,positive,"['recently', 'flew', 'new', 'york', 'back', 'london', 'wasnt', 'first', 'long', 'haul', 'however', 'first', 'time', 'travelling', 'world', 'traveler', 'plus', 'boarded', 'aircraft', 'time', 'stress', 'free', 'first', 'impression', 'good', 'cabin', 'clean', 'leg', 'room', 'good', 'recline', 'seat', 'generous', 'combined', 'footrest', 'quite', 'comfortable', 'waiting', 'seats', 'decent', 'quality', 'cushion', 'blanket', 'well', 'amenity', 'kit', 'amenity', 'kit', 'contained', 'good', 'headphones', 'socks', 'eye', 'mask', 'lip', 'balm', 'pen', 'toothbrush', 'toothpaste', 'boarding', 'complete', 'offered', 'pre', 'departure', 'drink', 'orange', 'juice', 'water', 'champagne', 'options', 'crew', 'friendly', 'professional', 'upmost', 'ensure', 'everyone', 'happy', 'air', 'offered', 'hot', 'towel', 'another', 'round', 'drinks', 'time', 'lot', 'selection', 'drinks', 'offered', 'several', 'times', 'throughout', 'menu', 'also', 'handed', 'long', 'take', 'starter', 'quinoa', 'main', 'choice', 'chicken', 'meatballs', 'pasta', 'vegetarian', 'mushroom', 'dish', 'chose', 'meatballs', 'really', 'good', 'real', 'complaint', 'people', 'getting', 'dish', 'wished', 'sat', 'last', 'row', 'premium', 'economy', 'cabin', 'time', 'meal', 'service', 'got', 'us', 'chicken', 'dishes', 'gone', 'moral', 'story', 'sit', 'front', 'cabin', 'likely', 'get', 'preferred', 'meal', 'option', 'meal', 'chose', 'watch', 'shows', 'well', 'sized', 'entertainment', 'screen', 'definitely', 'best', 'inflight', 'entertainment', 'finally', 'hour', 'landing', 'served', 'breakfast', 'snack', 'come', 'form', 'warm', 'egg', 'swiss', 'cheese', 'bagel', 'edible', 'also', 'little', 'soggy', 'didnt', 'really', 'taste', 'much', 'certainly', 'wont', 'craving', 'one', 'anytime', 'soon', 'touched', 'heathrow', 'time', 'disembarking', 'aircraft', 'picking', 'bags', 'everything', 'efficient', 'way', 'time']"
business class europe seat economy simply empty seat next many true benefits meals lounge access priority security etc problem small child aged around five sang incessantly extremely loud voice throughout aware difficulties flying children know difficult keep entertained etc patient person headphones parents child chose despite polite request try quieten child point one expectation crew step singling loudly disrupting passengers would quite rightly ask desist speak parents child disrupting rest sleep passengers instead served meal crew retreated behind curtain left passengers stew simply good enough wifi forget,0.062380952,positive,"['business', 'class', 'europe', 'seat', 'economy', 'simply', 'empty', 'seat', 'next', 'many', 'true', 'benefits', 'meals', 'lounge', 'access', 'priority', 'security', 'etc', 'problem', 'small', 'child', 'aged', 'around', 'five', 'sang', 'incessantly', 'extremely', 'loud', 'voice', 'throughout', 'aware', 'difficulties', 'flying', 'children', 'know', 'difficult', 'keep', 'entertained', 'etc', 'patient', 'person', 'headphones', 'parents', 'child', 'chose', 'despite', 'polite', 'request', 'try', 'quieten', 'child', 'point', 'one', 'expectation', 'crew', 'step', 'singling', 'loudly', 'disrupting', 'passengers', 'would', 'quite', 'rightly', 'ask', 'desist', 'speak', 'parents', 'child', 'disrupting', 'rest', 'sleep', 'passengers', 'instead', 'served', 'meal', 'crew', 'retreated', 'behind', 'curtain', 'left', 'passengers', 'stew', 'simply', 'good', 'enough', 'wifi', 'forget']"
started seattle wa heading lisbon portugal hour hour layover boarded lisbon heading runway plane stopped pilot said small mechanical issue mechanic route hour tarmac crews announce going offer complimentary water really another half hour goes say cancelled reason time wait bus remove passengers plane announce staff members back gate help meal vouchers taxi rides hotel accommodations get bus line passengers trying figure whats happening staff hands wife meal voucher says go upstairs someone help issues go upstairs nobody knows one staff member hands us paper hotel room tells us get luggage keep receipt taxi reimbursed nothing else asked another said contact asap contact walked away grabbed luggage headed taxi line driven hotel receive email next day different airline iberian assigned seats together get hotel barely fit shower double bed im lbs wife crazy get little sleep nothing eat another taxi ride airport tried use meal vouchers good prior day went first customer service line didnt authorization issue new vouchers finally third customer service line someone issue us new vouchers finally made destination day half later still pay room didnt even use cancellation refuses reimburse us first night missed filed claim nothing far never fly,0.030517128,positive,"['started', 'seattle', 'wa', 'heading', 'lisbon', 'portugal', 'hour', 'hour', 'layover', 'boarded', 'lisbon', 'heading', 'runway', 'plane', 'stopped', 'pilot', 'said', 'small', 'mechanical', 'issue', 'mechanic', 'route', 'hour', 'tarmac', 'crews', 'announce', 'going', 'offer', 'complimentary', 'water', 'really', 'another', 'half', 'hour', 'goes', 'say', 'cancelled', 'reason', 'time', 'wait', 'bus', 'remove', 'passengers', 'plane', 'announce', 'staff', 'members', 'back', 'gate', 'help', 'meal', 'vouchers', 'taxi', 'rides', 'hotel', 'accommodations', 'get', 'bus', 'line', 'passengers', 'trying', 'figure', 'whats', 'happening', 'staff', 'hands', 'wife', 'meal', 'voucher', 'says', 'go', 'upstairs', 'someone', 'help', 'issues', 'go', 'upstairs', 'nobody', 'knows', 'one', 'staff', 'member', 'hands', 'us', 'paper', 'hotel', 'room', 'tells', 'us', 'get', 'luggage', 'keep', 'receipt', 'taxi', 'reimbursed', 'nothing', 'else', 'asked', 'another', 'said', 'contact', 'asap', 'contact', 'walked', 'away', 'grabbed', 'luggage', 'headed', 'taxi', 'line', 'driven', 'hotel', 'receive', 'email', 'next', 'day', 'different', 'airline', 'iberian', 'assigned', 'seats', 'together', 'get', 'hotel', 'barely', 'fit', 'shower', 'double', 'bed', 'im', 'lbs', 'wife', 'crazy', 'get', 'little', 'sleep', 'nothing', 'eat', 'another', 'taxi', 'ride', 'airport', 'tried', 'use', 'meal', 'vouchers', 'good', 'prior', 'day', 'went', 'first', 'customer', 'service', 'line', 'didnt', 'authorization', 'issue', 'new', 'vouchers', 'finally', 'third', 'customer', 'service', 'line', 'someone', 'issue', 'us', 'new', 'vouchers', 'finally', 'made', 'destination', 'day', 'half', 'later', 'still', 'pay', 'room', 'didnt', 'even', 'use', 'cancellation', 'refuses', 'reimburse', 'us', 'first', 'night', 'missed', 'filed', 'claim', 'nothing', 'far', 'never', 'fly']"
airways edinburgh got delayed h min connecting part ticket literally run next connecting airways lhr delhi bonus trouble surprise landed delhi got know luggage missing assured luggage delivered address today th oct received yet shown luggage bbi air port apply leave collect details point contact enter air port without ticket sort trouble face,-0.15,negative,"['airways', 'edinburgh', 'got', 'delayed', 'h', 'min', 'connecting', 'part', 'ticket', 'literally', 'run', 'next', 'connecting', 'airways', 'lhr', 'delhi', 'bonus', 'trouble', 'surprise', 'landed', 'delhi', 'got', 'know', 'luggage', 'missing', 'assured', 'luggage', 'delivered', 'address', 'today', 'th', 'oct', 'received', 'yet', 'shown', 'luggage', 'bbi', 'air', 'port', 'apply', 'leave', 'collect', 'details', 'point', 'contact', 'enter', 'air', 'port', 'without', 'ticket', 'sort', 'trouble', 'face']"
airways world traveller plus premium economy product needs improvement justify high cost economy yes seat leg room far superior crew excellent however lunchdinner average wine selection poor like airlines provides revolting snack prior landing snack served economy choice entertainment also requires improvement ceo sean doyle serious elevating one one worlds best airlines work needed provide better customer experience,0.257666667,positive,"['airways', 'world', 'traveller', 'plus', 'premium', 'economy', 'product', 'needs', 'improvement', 'justify', 'high', 'cost', 'economy', 'yes', 'seat', 'leg', 'room', 'far', 'superior', 'crew', 'excellent', 'however', 'lunchdinner', 'average', 'wine', 'selection', 'poor', 'like', 'airlines', 'provides', 'revolting', 'snack', 'prior', 'landing', 'snack', 'served', 'economy', 'choice', 'entertainment', 'also', 'requires', 'improvement', 'ceo', 'sean', 'doyle', 'serious', 'elevating', 'one', 'one', 'worlds', 'best', 'airlines', 'work', 'needed', 'provide', 'better', 'customer', 'experience']"
